Source,Year,Value,Comments
Von \bekesy,1951,0.476,Reported as conductivity
Girzon,1987,0.5,First estimate~\cite{girzon1987}
Finley,1990,0.7,
Frijns / Briaire,1995--2011,0.699,Reported as conductivity
Hanekom,2001,0.7,
Rattay,2001,0.7,
Choi / Lai,2004,0.7,
Whiten,2007,0.5,From Girzon
Saba,2012,0.7,
