Source,Year,Value,Comments
Girzon,1987,0.5,First estimate~\cite{girzon1987}
Finley,1990,0.6,
Frijns / Briaire,1995--2011,0.599,Reported as conductivity
Hanekom,2001,0.6,
Rattay,2001,0.6,
Choi / Lai,2004,0.6,From Hanekom
Whiten,2007,0.5,From Girzon
Saba,2012,0.6,
