Source,Year,Value,Comments
Girzon,1987,200,Listed under ``scala media boundaries''
Finley,1990,604.8,Adjusted for membrane thickness
Frijns,1995,1020.4,Adjusted values from Strelioff~\cite{strelioff1973} for membrane thickness
Hanekom,2001,340.13,Adjusted for membrane thickness
Saba,2012,500,
