BC,Examples
Grounded at nerve trunk, {Girzon~\cite{girzon1987}, Whiten~\cite{whiten2007}}
Pseudo-monopolar return, {Hanekom~\cite{hanekom2001}}
Grounded boundary box, {Rattay~\cite{rattay2001model}, Saba~\cite{saba2012}}
Grounded at infinity, {Frijns~\cite{frijns2000}}
Whole head simulation, {Tran~\cite{tran2015}, Malherbe~\cite{malherbe2015}}
